seed_query,place_name,user_name,rating,review_text,review_date,stage2_completed,stage2_finished_at
Hoa Sen Home,HOA SEN HOME THỦ ĐỨC Cửa hàng vật liệu xây dựng · 843 Nguyễn Duy Trinh,Jerry Ho,5 sao,"Thuộc hệ thống bán lẻ của tập đoàn Hoa Sen, Hoa Sen Home có Show room đẹp, nhân viên tư vấn nhiệt tình, có đầy đủ tất cả trang thiết bị nội ngoại thất, giá sỉ. Đặc biệt nếu bạn đang lo lắng về chi phí thiết kế, bản vẽ khi có dự định xây nhà …",3 năm trước,True,2026-05-22T23:26:58
Hoa Sen Home,HOA SEN HOME THỦ ĐỨC Cửa hàng vật liệu xây dựng · 843 Nguyễn Duy Trinh,Phan Nhien,5 sao,To rộng rãi. Dể bán vật liệu xây dựng,9 tháng trước,True,2026-05-22T23:26:58
Hoa Sen Home,HOA SEN HOME THỦ ĐỨC Cửa hàng vật liệu xây dựng · 843 Nguyễn Duy Trinh,Xuân Khiêm Nguyễn,5 sao,"Dịch vụ tốt, giao hàng nhanh ! Tuy nhiễn giá  cao.",2 năm trước,True,2026-05-22T23:26:58
Hoa Sen Home,HOA SEN HOME THỦ ĐỨC Cửa hàng vật liệu xây dựng · 843 Nguyễn Duy Trinh,Lê Thiên An,5 sao,"Hàng đa dạng, tư vấn nhiệt tình",3 năm trước,True,2026-05-22T23:26:58
Hoa Sen Home,HOA SEN HOME THỦ ĐỨC Cửa hàng vật liệu xây dựng · 843 Nguyễn Duy Trinh,Ngân Yến,4 sao,"Showroom Hoa Sen Home có bán đầy đủ và gần như toàn bộ về VLXD và nội thất, có gạch ngói, thiết bị vệ sinh, nhà bếp, nhà tắm, công cụ dụng cụ...",Thời gian chỉnh sửa: 3 tuần trước,True,2026-05-22T23:26:58
Hoa Sen Home,HOA SEN HOME THỦ ĐỨC Cửa hàng vật liệu xây dựng · 843 Nguyễn Duy Trinh,Mỹ Anh,5 sao,"Hoa Sen Home đa dạng vật liệu xây dựng, từ tôn, sắt thép đến đồ nội thất cơ bản đều có. Không gian trưng bày gọn gàng, dễ xem, nhân viên tư vấn ổn. …",một tháng trước,True,2026-05-22T23:26:58
Hoa Sen Home,HOA SEN HOME THỦ ĐỨC Cửa hàng vật liệu xây dựng · 843 Nguyễn Duy Trinh,Khoa LTM,5 sao,,Thời gian chỉnh sửa: một năm trước,True,2026-05-22T23:26:58
Hoa Sen Home,HOA SEN HOME THỦ ĐỨC Cửa hàng vật liệu xây dựng · 843 Nguyễn Duy Trinh,Tuấn Nguyễn,5 sao,,3 tháng trước,True,2026-05-22T23:26:58
Hoa Sen Home,HOA SEN HOME THỦ ĐỨC Cửa hàng vật liệu xây dựng · 843 Nguyễn Duy Trinh,Thuy,5 sao,,6 tháng trước,True,2026-05-22T23:26:58
Hoa Sen Home,HOA SEN HOME THỦ ĐỨC Cửa hàng vật liệu xây dựng · 843 Nguyễn Duy Trinh,Hiển Đinh,4 sao,,8 tháng trước,True,2026-05-22T23:26:58
Hoa Sen Home,HOA SEN HOME THỦ ĐỨC Cửa hàng vật liệu xây dựng · 843 Nguyễn Duy Trinh,ṔȞǏ ŇǦṎČ ŠṎŇ,5 sao,,một năm trước,True,2026-05-22T23:26:58
Hoa Sen Home,HOA SEN HOME THỦ ĐỨC Cửa hàng vật liệu xây dựng · 843 Nguyễn Duy Trinh,Nguyễn Hữu Trương,3 sao,,2 năm trước,True,2026-05-22T23:26:58
Hoa Sen Home,HOA SEN HOME THỦ ĐỨC Cửa hàng vật liệu xây dựng · 843 Nguyễn Duy Trinh,Phúc Nguyễn,5 sao,,2 năm trước,True,2026-05-22T23:26:58
Hoa Sen Home,HOA SEN HOME THỦ ĐỨC Cửa hàng vật liệu xây dựng · 843 Nguyễn Duy Trinh,Hoang Pham,5 sao,,3 năm trước,True,2026-05-22T23:26:58
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Đồng Quang Nhật,5 sao,"Cảnh đẹp, người đẹp.
Nhân viên có view ngồi ăn trưa ngoài công viên rất chill.
Tết nhất tất bật nhưng mọi người đều chăm chỉ làm việc. …",3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Danh Nguyễn,5 sao,"Showroom mới, đẹp, đẳng cấp, đa dạng mặt hàng đáp ứng cho nhu cầu xây dựng, sửa chữa nhà ở, công trình.",3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,thúy an Lê thị,5 sao,"Showroom nằm ở vị trí đẹp, không gian rộng, bố trí sản phẩm đẹp, nhiều hãng nổi tiếng. Đường rộng để được xe ô tô tham quan thoải mái. Showroom còn có quầy cafe phục vụ khách hàng.",3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Sỹ Just,5 sao,"Bố cục trưng bày khá thẩm mỹ, sp đa dạng. Nếu có ctr khuyến mãi sẽ mua hàng tại đây",3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Vũ Hoàng,4 sao,"showroom đẹp, đẳng cấp và đa dạng mặt hàng nhất khu Sala",3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Quyết Hữu,5 sao,"Quá Đẳng cấp, bước tiến mới của hệ thống cung cấp vật liệu xây dựng",3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Hồ Nhung,5 sao,"Nhân viên nhiệt tình , sp chất lượng",3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Quân Nguyễn,5 sao,Showroom quá đẹp,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Đồng Trần Hữu,5 sao,Tuyệt vời,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,trường nguyễn hữu,5 sao,quá đẹp,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Hiep Nguyen,5 sao,Tốt,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Joanna dH Kiwi,5 sao,"Mình ghé showroom tham khảo các mẫu gạch xây nhà và các bạn nhân viên tư vấn rất nhiệt tình. Đặc biệt cảm ơn chị Minh Khánh đã tư vấn rất tận tâm, hỗ trợ thêm mình tư vấn phối màu gạch rất đẹp.",23 giờ trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Nathan Dong,5 sao,"Tôi rất thích chuyến tham quan phòng trưng bày! Mọi thứ trông thật tuyệt vời, và nhân viên thì vô cùng nhiệt tình. Không gian và dịch vụ đều rất tốt! …",3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,ṔȞǏ ŇǦṎČ ŠṎŇ,5 sao,,một tuần trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Hậu Nghĩa Trần Phúc,5 sao,,một tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Nguyễn Hồ Minh Thy,5 sao,,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Khoa Diệp Trần Anh,5 sao,,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Đạt Cao Quang,5 sao,,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Vân Mâyy,5 sao,,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Ngoc Nguyen,5 sao,,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,quân trịnh ngọc,5 sao,,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Thung Đặng Trần,5 sao,,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,NGUYEN THAI Lam,5 sao,,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Linh Đinh Ngọc,5 sao,,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Nguyễn Ngọc,5 sao,,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home An Khánh Cửa hàng vật liệu xây dựng · 72 Nguyễn Cơ Thạch,Duy Linh Nguyen,5 sao,,3 tháng trước,True,2026-05-22T23:27:52
Hoa Sen Home,Hoa Sen Home - Củ Chi - HCM Văn phòng công ty · 209A Hà Duy Phiên,Blue Ckc,5 sao,Rất nhiều sản phẩm,5 năm trước,True,2026-05-22T23:28:34
Hoa Sen Home,Hoa Sen Home - Củ Chi - HCM Văn phòng công ty · 209A Hà Duy Phiên,Hà Nguyễn,5 sao,Tuyệt vời,11 tháng trước,True,2026-05-22T23:28:34
Hoa Sen Home,Hoa Sen Home - Củ Chi - HCM Văn phòng công ty · 209A Hà Duy Phiên,Thuật Nguyễn,5 sao,,6 năm trước,True,2026-05-22T23:28:34
Hoa Sen Home,Hoa Sen Home - Củ Chi - HCM Văn phòng công ty · 209A Hà Duy Phiên,lê phượng,4 sao,,6 năm trước,True,2026-05-22T23:28:34
Hoa Sen Home,Hoa Sen Home - Tân Sáng Tạo Cửa hàng vật liệu xây dựng · 78g Cầu Phú Long,Thu Thủy Nguyễn Thị,5 sao,Sản phẩm chất lượng và rất OK nha. Lần sau m sẽ ủng hộ tiếp,5 tháng trước,True,2026-05-22T23:29:17
Hoa Sen Home,Hoa Sen Home - Tân Sáng Tạo Cửa hàng vật liệu xây dựng · 78g Cầu Phú Long,truong vinh,5 sao,Sản phẩm uy tín và chất lượng,5 tháng trước,True,2026-05-22T23:29:17
Hoa Sen Home,Hoa Sen Home - Tân Sáng Tạo Cửa hàng vật liệu xây dựng · 78g Cầu Phú Long,Trần Trung Kiên,5 sao,"Phục vụ chu đáo, hàng chất lượng giá hợp lý.",một tháng trước,True,2026-05-22T23:29:17
Hoa Sen Home,Hoa Sen Home - Tân Sáng Tạo Cửa hàng vật liệu xây dựng · 78g Cầu Phú Long,Thu Huyền,5 sao,,5 tháng trước,True,2026-05-22T23:29:17
Hoa Sen Home,Hoa Sen Home - Tân Sáng Tạo Cửa hàng vật liệu xây dựng · 78g Cầu Phú Long,Hải Phượng Nguyễn,5 sao,,5 tháng trước,True,2026-05-22T23:29:17
